koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_impact,koi_impact_err1,koi_duration,koi_depth,koi_depth_err1,koi_teq,koi_insol,koi_tce_plnt_num,koi_steff,ra,dec
0,0,0,3.180027898,0.196,0.242,3.5797,120.3,2.7,1458.0,1066.86,2.0,5847.0,297.02826,48.208611
0,0,0,50.4467417,0.379,0.111,7.159,370.3,20.1,568.0,24.64,4.0,5739.0,287.89713,40.637821
0,0,0,56.2279271,0.7,0.208,3.57,862.7,44.9,366.0,4.22,2.0,4959.0,294.20215,40.66341
0,1,1,2.384052875,1.178,5.685,3.0918,1268.1,29.9,1010.0,244.87,1.0,4794.0,299.64285,40.691238
0,0,0,7.953547,0.3,0.145,2.6312,875.4,25.3,696.0,55.37,1.0,4768.0,291.15878,40.750271000000005
0,0,0,4.14451656,0.004,0.471,2.3421,391.8,19.8,864.0,132.08,2.0,4768.0,291.15878,40.750271000000005
0,1,0,4.859386384,1.259,1.089,2.2757,6044.3,27.2,1114.0,364.23,1.0,6072.0,292.21436,40.759762
0,0,0,10.526294577,0.644,0.031,2.5211,9768.0,26.4,713.0,61.16,1.0,5386.0,293.87811,41.661770000000004
0,0,0,4.583520948,0.045,0.319,2.7055,3812.1,44.5,1038.0,274.98,1.0,5815.0,299.18686,41.74268
0,0,0,3.76181843,0.926,0.0,3.5176,510.6,16.4,1121.0,372.62,1.0,5653.0,283.31638,41.83712
0,0,0,8.20396958,0.823,0.001,2.9667,1024.4,21.2,742.0,71.5,1.0,5015.0,286.5657,41.808399
0,0,0,14.49645186,0.97,0.002,4.016,647.5,26.7,613.0,33.48,2.0,5015.0,286.5657,41.808399
0,0,0,6.54626149,0.644,0.295,2.75,655.9,30.0,810.0,101.78,3.0,5251.0,292.23676,41.085879999999996
0,0,0,12.71809866,0.427,0.016,3.0957,1149.4,24.5,562.0,23.6,1.0,4702.0,292.91312,41.060921
0,0,0,36.06588163,0.26,0.145,4.3246,1563.8,32.1,397.0,5.88,2.0,4702.0,292.91312,41.060921
0,0,0,4.190425659,0.458,0.004,2.8589,2877.4,14.1,1234.0,547.9,1.0,6073.0,293.49661000000003,41.137589
0,0,0,3.7098707839999996,0.023,0.323,3.0694,2020.3,20.1,1151.0,415.1,1.0,5727.0,283.86441,41.346458
0,0,0,16.3297527,0.791,0.091,6.271,1187.5,18.1,727.0,66.08,1.0,5878.0,288.51001,41.301769
0,0,0,27.807566215999998,0.782,0.002,4.21587,25391.0,47.3,554.0,22.24,1.0,5862.0,296.88821,41.396091
0,0,0,80.8723469,0.527,0.08,11.195,3604.6,25.9,452.0,9.88,1.0,5510.0,287.1543,41.565788
0,1,1,3.166465862,1.266,6.924,2.9381,4357.2,44.4,954.0,196.31,1.0,4968.0,284.86929,41.679192
0,0,0,24.99324319,0.686,0.015,5.9409,269.6,4.9,712.0,60.88,1.0,5718.0,287.36279,38.649601000000004
0,0,0,10.35533116,0.029,0.429,3.1775,750.6,17.4,777.0,86.22,1.0,5501.0,288.9942,41.633282
0,0,0,16.08518937,0.867,0.011,3.984,1442.4,26.7,613.0,33.43,1.0,5239.0,292.10519,42.380322
0,0,0,235.9986399,0.778,0.006,8.2284,20715.0,91.7,188.0,0.29,1.0,4245.0,293.00797,42.307201
0,0,0,7.49018305,0.02,0.404,2.7297,1123.6,22.7,753.0,76.06,1.0,5103.0,291.63898,42.436321
0,0,0,36.2761238,0.035,0.379,4.7865,1572.6,35.5,445.0,9.29,2.0,5103.0,291.63898,42.436321
0,0,0,17.46087931,0.594,0.326,2.2641,812.4,38.3,568.0,24.6,4.0,5103.0,291.63898,42.436321
0,0,0,56.0560754,0.018,0.413,4.685,1626.0,66.7,233.0,0.69,1.0,3593.0,289.50847999999996,41.812119
0,0,0,41.408316686,0.377,0.016,5.0264,22839.0,31.4,453.0,9.93,1.0,5522.0,291.76041000000004,41.944069
0,0,0,39.74893077,0.881,0.003,7.3051,15179.0,44.1,552.0,21.87,1.0,6122.0,293.17929,41.969238
0,0,0,5.715425977000001,0.348,0.098,2.5242,908.1,17.4,850.0,123.03,1.0,5237.0,285.11047,42.033958
0,0,0,49.18394185,0.035,0.361,11.3364,1646.2,5.4,669.0,47.4,1.0,5626.0,294.55917,46.062328
0,0,0,20.0261412,0.957,0.003,1.611,421.2,60.7,559.0,23.14,2.0,5237.0,285.11047,42.033958
0,1,0,13.61014819,1.081,0.347,2.594,5732.9,38.1,733.0,68.29,1.0,5697.0,289.89777000000004,42.009151
0,1,1,10.44331991,0.23,0.799,2.743,1159.8,64.2,667.0,46.94,1.0,4947.0,286.24356,42.148811
0,0,0,2.237489571,0.128,0.325,1.8119,315.8,11.8,1160.0,427.17,1.0,5265.0,290.00757000000004,42.116459000000006
0,1,0,5.851520671,0.211,0.02,3.11058,33004.0,26.1,901.0,155.89,1.0,5532.0,284.08731,42.233230999999996
0,0,0,3.1678934180000002,0.026,0.366,2.1814,781.2,14.3,1221.0,526.23,1.0,5895.0,293.81647000000004,42.212502
0,0,0,4.311780262,0.196,0.221,2.7251,1154.0,15.0,1038.0,274.84,1.0,5527.0,287.24268,42.301369
0,0,0,20.0504494,0.383,0.081,4.556,840.9,23.5,622.0,35.44,2.0,5527.0,287.24268,42.301369
0,0,0,9.76734503,0.9,0.023,1.6585,569.1,31.7,791.0,92.46,3.0,5527.0,287.24268,42.301369
0,0,0,119.0207044,0.076,0.173,8.1405,7430.5,38.4,366.0,4.25,1.0,5453.0,291.58377,42.368159999999996
0,0,0,190.3200468,0.812,0.048,15.284,1141.7,8.5,426.0,7.8,2.0,5626.0,294.55917,46.062328
0,1,1,2.8611598939999996,0.965,0.13,1.8832,1014.3,28.6,1355.0,797.1,1.0,6126.0,291.67172,42.343109000000005
0,0,0,26.44439337,0.03,0.355,3.9783,1843.5,22.2,562.0,23.54,2.0,5427.0,292.87338,42.966141
0,0,0,51.53997972,0.183,0.165,6.3994,3644.3,23.9,450.0,9.67,1.0,5427.0,292.87338,42.966141
0,0,0,5.9022457820000005,0.209,0.165,2.9003,702.3,12.8,926.0,173.74,3.0,5427.0,292.87338,42.966141
0,0,0,2.382951591,0.479,0.416,1.8876,391.6,10.4,1253.0,583.01,4.0,5427.0,292.87338,42.966141
0,0,0,21.02250608,0.036,0.36,4.1072,1772.5,32.1,521.0,17.48,1.0,5067.0,294.90972999999997,42.935261
0,0,0,3.219814777,0.06,0.4,2.0642,488.2,17.6,998.0,234.93,3.0,5103.0,291.63898,42.436321
0,0,0,5.912273234,0.17,0.201,2.3254,961.4,17.2,585.0,27.72,1.0,4072.0,292.13702,42.42942
0,0,0,8.98581901,0.008,0.387,2.8606,881.3,18.5,509.0,15.9,2.0,4072.0,292.13702,42.42942
0,1,0,12.940668656,0.897,0.16,2.4845,42450.0,198.0,723.0,64.64,1.0,5875.0,291.11969,42.507069
0,0,0,20.5452375,0.95,0.007,2.517,218.5,14.0,742.0,71.57,1.0,5670.0,294.40192,50.172089
0,0,0,33.60123371,0.67,0.028,4.4056,7425.9,33.2,495.0,14.22,1.0,5149.0,289.26874,42.604172
0,0,0,6.76652928,0.429,0.031,2.9004,450.7,17.2,845.0,120.48,2.0,5149.0,289.26874,42.604172
0,0,0,4.347288783,0.025,0.404,2.1024,451.6,13.2,1174.0,449.79,1.0,5754.0,291.96417,42.69614
0,0,0,4.601811819,0.567,0.045,2.2607,755.9,14.1,896.0,152.91,1.0,4986.0,296.48343,42.663429
0,0,0,11.18719905,0.387,0.062,3.252,353.6,17.5,667.0,46.65,2.0,4986.0,296.48343,42.663429
0,0,0,4.220965778,0.705,0.061,3.0854,2260.0,17.9,595.0,29.68,1.0,3837.0,296.69394,42.62611
0,1,0,6.998099523,7.361,46.99,2.0488,20285.0,128.0,853.0,125.22,1.0,5612.0,287.88412,42.832439
0,0,0,5.95489993,0.327,0.084,2.3892,1410.7,17.8,635.0,38.52,1.0,4261.0,293.63696,42.82497
0,0,0,12.03987488,0.286,0.133,2.7363,1250.6,23.5,502.0,15.06,2.0,4261.0,293.63696,42.82497
0,0,0,20.83762895,0.706,0.04,2.3734,439.0,30.9,418.0,7.24,3.0,4261.0,293.63696,42.82497
0,1,1,8.8111022,1.223,11.08,5.0683,401.1,6.1,1399.0,904.92,1.0,6200.0,294.46088,38.383461
0,0,0,23.58917143,0.926,0.026,5.073,1200.7,27.4,487.0,13.34,1.0,4919.0,297.46002000000004,42.83992
0,0,0,6.481633072999999,0.833,0.021,3.784,298.5,2.7,1145.0,406.25,1.0,5945.0,290.39273,40.28487
0,0,0,10.37168928,0.537,0.02,3.035,1254.9,21.2,720.0,63.68,1.0,5121.0,290.39322000000004,43.363898999999996
0,0,0,3.96996298,0.836,0.101,1.1757,299.2,24.5,992.0,229.37,2.0,5121.0,290.39322000000004,43.363898999999996
0,0,0,4.40841331,0.899,0.013,5.012,549.4,13.4,1139.0,398.0,1.0,6007.0,292.96555,43.34639
0,1,1,7.9426176,0.942,0.007,6.703,1590.7,40.4,878.0,140.57,1.0,5811.0,299.00142999999997,43.399632000000004
0,0,0,226.8904775,0.731,0.139,7.558,3136.4,69.4,236.0,0.73,2.0,5067.0,294.90972999999997,42.935261
0,1,0,1.956811408,1.091,11.83,2.1958,24905.0,244.0,1109.0,357.16,1.0,5209.0,295.83536000000004,42.943062
0,0,0,2.6888992330000003,0.001,0.061,2.11275,37492.0,44.0,929.0,175.76,1.0,4820.0,296.68307000000004,42.967869
0,0,0,9.439459486,0.049,0.273,2.8979,3036.1,18.8,686.0,52.32,1.0,5097.0,288.64252,43.039291
0,0,0,11.523067458,0.0,0.304,3.8757,507.3,4.2,927.0,174.81,1.0,5644.0,284.48245,44.398041
